animeTitle	b'Haikara-san ga Tooru'
animeType	b'TV'
animeNumEpisode	42
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	577
animeRank	
animePopularity	
animeDescription	b'Set in the 1920s, Haikara-san ga Tooru is the story of the high-spirited tomboy Benio and her relationship with a handsome half-German soldier named Shinobu. Benio is a very outgoing and athletic girl with firm ideas about being able to live her life as she wants to. When she first meets Shinobu, she dislikes him intensely, even though he manages to help her out of a series of embarrassing mishaps. She is therefore surprised when she finds out that she has been forced into an arranged marriage and that her husband-to-be is none other than Shinobu! The story then has many twists and turns, as Shinobu has to fight in the war, Benio has to wrangle with the idea of getting married, and getting along with her future in-laws and employer. Meanwhile, the great Kanto earthquake looms in the future...'
animeRelated	[b'Haikara-san ga Tooru', b'Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai', b'Haikara-san ga Tooru Movie 2: Hana no Tokyo Dai Roman']
animeCharacters	[b'Hanamura, Benio', b'Ijuuin, Shinobu', b'Aoe, Tousei', b'Ushigorou', b'Kichiji', b'Hanamura', b'Onishima, Shingo', b'Narrator', b'Baaya']
animeVoices	[b'\nYokozawa, Keiko\nJapanese\n', b'\nMori, Katsuji\nJapanese\n', b'\nInoue, Makio\nJapanese\n', b'\nYasuhara, Yoshito\nJapanese\n', b'\nNagai, Ichiro\nJapanese\n', b'\nSuzuki, Reiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakagaki, Kouzou\n\nStoryboard\n\n', b'\nYoshida, Hiroshi\n\nStoryboard\n\n', b'\nYamato, Waki\n\nOriginal Creator\n\n', b'\nTominaga, Sadayoshi\n\nAnimation Director\n\n']
