animeTitle	b'Shelter (Music)'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	8.32
animeUsers	196902
animeRank	
animePopularity	
animeDescription	"b""Day 2539: Rin wakes up alone again with blurred memories and still no contact from any other human. She's not bored, however, because in her arms lies a tablet capable of creating any world her heart desires. Day after day, Rin crafts a wonderful reality\xe2\x80\x94one utopia at a time\xe2\x80\x94to shelter her from loneliness, hoping to one day reveal the truth behind her very existence.\n\n[Written by MAL Rewrite]"""
animeRelated	[]
animeCharacters	[b'Rin', b'Shigeru']
animeVoices	[b'\nMisawa, Sachika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFukushima, Yuuichi\n\nProducer\n\n', b'\nAkai, Toshifumi\n\nDirector, Storyboard\n\n', b'\nFujita, Akiko\n\nSound Director\n\n', b'\nRobinson, Porter\n\nExecutive Producer, Music, Original Creator\n\n']
