animeTitle	b'Manga Edo Erobanashi'
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	5.12
animeUsers	116
animeRank	
animePopularity	
animeDescription	b'Several tales of old-time Tokyo from well known directors, mainly concentrating on the courtesans of the Yoshiwara and prostitutes in pre-modern Shinjuku but also on the merchants and the impoverished samurai class of the period, with star-crossed lovers, chirpy artisans, and human-interest stories.\n\n(Source: The Anime Encyclopedia)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
