animeTitle	himitsukesshatakanotsume.jp
animeType	ONA
animeNumEpisode	78
releaseDate	2012-04-06 00:00:00
endDate	2014-04-23 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13403
animeDescription	Eagle Talon, a secret society based in Kojimachi, Tokyo, with plans for world domination, is going nation-wide by broadcasting a new series through NHK! But that's not all, they're going world-wide with a new series on their homepage as well!
animeRelated	['Himitsukessha Taka no Tsume NEO', 'himitsukesshatakanotsume.jp Specials', 'Himitsukessha Taka no Tsume The Movie 4: Kaspersky wo Motsu Otoko']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
