animeTitle	Gunjou no Fanfare
animeType	TV
animeNumEpisode	Unknown
releaseDate	2022-04-01 00:00:00
endDate	
animeNumMembers	1893
animeScore	
animeUsers	
animeRank	
animePopularity	10138
animeDescription	"The story follows three 15-year-old boys who go to a prestigious horse racing academy to become jockeys. The three-year academy is 10 to 20 times harder to enter than most schools, and whoever wishes to enter must pass an academic, physical, and fitness test.

Formerly a member of an idol group winning fans and fame, Yuu Arimura sets out to meet what his heart desires after becoming enamored with horse racing. Having grown up on an island, Shun Kanami has always yearned to ride with horses. Amane Grace was born in England and is lost in the path his parents have set for him, but he still takes on his dream.

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Grace, Amane', 'Kazanami, Shun', 'Arimura, Yuu']
animeVoices	['Hanae, Natsuki', 'Tsuchiya, Shinba', 'Yano, Shougo']
animeStaff	[['Katou, Makoto', 'Director'], ['Sawano, Hiroyuki', 'Music'], ['Kanzaki, Hiro', 'Character Design']]
