animeTitle	Chouon Senshi Borgman: Madnight☆Gigs!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.93
animeUsers	123
animeRank	
animePopularity	12990
animeDescription	A music clip OVA using full versions of songs that were from the anime. While most of the OVA is re-purposed footage from the original show, this release does contain footage that never aired previously showing some events that occurred after the final episode. 
animeRelated	['Chouon Senshi Borgman', 'Chouon Senshi Borgman: Lovers Rain']
animeCharacters	['Jead, Dust']
animeVoices	[]
animeStaff	[]
