animeTitle	Heisei Tensai Bakabon
animeType	TV
animeNumEpisode	46
releaseDate	1990-01-06 00:00:00
endDate	1990-12-29 00:00:00
animeNumMembers	
animeScore	6.07
animeUsers	126
animeRank	
animePopularity	12476
animeDescription	"A comedy about a former genius who has now become very eccentric and senile. His family deals with all the crazy problems he and his old friends cause around the neighborhood.

(Source: AniDB)"
animeRelated	['Tensai Bakabon', 'Rerere no Tensai Bakabon', 'Ganso Tensai Bakabon']
animeCharacters	['Bakabon no Papa', 'Hajime-chan', 'Bakabon', 'Bakabon no Mama', 'Omawari-san']
animeVoices	['Tomita, Kousei', 'Sakamoto, Chika', 'Hayashibara, Megumi', 'Masuyama, Eiko']
animeStaff	[['Sasagawa, Hiroshi', 'Director'], ['Mizumoto, Kan', 'Sound Director'], ['Akatsuka, Fujio', 'Original Creator'], ['Honma, Yusuke', 'Music']]
