animeTitle	Kimi ni Maji Kyun!
animeType	OVA
animeNumEpisode	1
releaseDate	2016-05-18 00:00:00
endDate	
animeNumMembers	4639
animeScore	6.62
animeUsers	908
animeRank	5499
animePopularity	7227
animeDescription	"Full chorus animation and situational anime bundled as a DVD with the ""Kimi ni Maji Kyun!"" CD release."
animeRelated	['Magic-Kyun! Renaissance']
animeCharacters	['Ichijouji, Teika', 'Tsukushi, Monet', 'Hibiki, Kanato', 'Suminomiya, Aoi', 'Tatewaki, Rintarou', 'Anjou, Rui']
animeVoices	['Umehara, Yuuichirou', 'Aoi, Shouta', 'Eguchi, Takuya', 'KENN', 'Ono, Yuuki', 'Hatano, Wataru']
animeStaff	[['Yatate, Hajime', 'Original Creator'], ['Yura, Kairi', 'Original Character Design'], ['Ishii, Kumi', 'Character Design']]
