animeTitle	Hana yori Dango
animeType	TV
animeNumEpisode	51
releaseDate	1996-09-08 00:00:00
endDate	1997-08-31 00:00:00
animeNumMembers	
animeScore	7.66
animeUsers	20661
animeRank	
animePopularity	2422
animeDescription	"Makino Tsukushi, a girl who comes from a poor family, just wants to get through her two last years at Eitoku Gakuen quietly. But once she makes herself known by standing up for her friend to the F4, the four most popular, powerful, and rich boys at the school, she gets the red card: F4's way of a ""Declaration of War."" But when she doesn't let herself be beaten by them and is starting to fall for one of the F4, Hanazawa Rui, she starts to see that there is more than meets the eye...

(Source: ANN)"
animeRelated	['Hana yori Dango', 'Hana yori Dango (Movie)']
animeCharacters	['Domyouji, Tsukasa', 'Makino, Tsukushi', 'Hanazawa, Rui', 'Domyouji, Tsubaki', 'Toudou, Shizuka', 'Mimasaka, Akira', 'Aoike, Kazuya', 'Nishikado, Soujirou', 'Oribe, Junpei', 'Matsuoka, Yuuki']
animeVoices	['Miyashita, Naoki', 'Mochida, Maki', 'Yamamoto, Kouji', 'Ookawa, Chiho', 'Imamura, Keiko', 'Ietomi, Yoji', 'Akaida, Yoshihiko', 'Takahashi, Hiroki']
animeStaff	[['Seki, Hiromi', 'Producer'], ['Yamauchi, Shigeyasu', 'Director, Episode Director, Storyboard'], ['Yamayoshi, Yasuo', 'Episode Director'], ['Umezawa, Atsutoshi', 'Episode Director']]
