animeTitle	B-Legend! Battle B-Daman
animeType	TV
animeNumEpisode	52
releaseDate	2004-01-05 00:00:00
endDate	2004-12-27 00:00:00
animeNumMembers	
animeScore	6.28
animeUsers	6442
animeRank	
animePopularity	4933
animeDescription	"Upon the creation of marble launching machines known as B-Daman, people started to participate in the competitive sport B-DaBattles. However, B-Daman contain hidden powers which enhance marble shooting that can be misused for combative purposes.

One night, a certain object residing behind the walls of a restaurant calls upon Yamato Daiwa—a boy raised by cats. Yamato has been having visions of the object which resembles a machine familiar to everyone. Little does he know, hidden behind the walls is not a mere machine, but the fate of the world.

[Written by MAL Rewrite]"
animeRelated	['B-Densetsu! Battle B-Daman', 'B-Legend! Battle B-Daman Fire Spirits!']
animeCharacters	['Enjyu', 'Michael Vincent, Gray', 'Daiwa, Yamato', 'Tsubakura, Tsubame', 'Borgnine, Bull', 'Yong Fa, Wen', 'Daiwa, Mie', 'Vincent, Liena Grace', 'Yong Fa, Li', 'Assado']
animeVoices	['Tai, Yuuki', 'Kaneda, Tomoko', 'Mamiya, Kurumi', 'Shigematsu, Tomo', 'Takano, Naoko', 'Uemura, Takako', 'Itou, Miyako']
animeStaff	[['Hashimoto, Mitsuo', 'Director'], ['Odaka, Yoshinori', 'Episode Director, Storyboard'], ['Kawasaki, Hiroyuki', 'Script, Series Composition'], ['Avidan, Asaf', 'Theme Song Performance']]
