animeTitle	Berserk Recap
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	4923
animeRank	
animePopularity	5030
animeDescription	Recap episode of Berserk.
animeRelated	['Berserk']
animeCharacters	['Guts', 'Casca', 'Griffith', 'Schierke', 'The Skull Knight', 'Puck', 'Serpico', 'de Vandimion, Farnese', 'Nosferatu, Zodd', 'Isidro']
animeVoices	['Iwanaga, Hiroaki', 'Yukinari, Toa', 'Saitou, Chiwa', 'Mizuhara, Kaoru', 'Okitsu, Kazuyuki', 'Hikasa, Youko', 'Shimono, Hiro']
animeStaff	[['9mm Parabellum Bullet', 'Theme Song Lyrics'], ['Miura, Kentarou', 'Original Creator'], ['Hirasawa, Susumu', 'Inserted Song Performance'], ['Sagisu, Shirou', 'Music']]
