animeTitle	b'Seisenshi Dunbine'
animeType	b'TV'
animeNumEpisode	49
releaseDate	
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	1696
animeRank	
animePopularity	
animeDescription	"b'Shou Zama is an ordinary 18-year-old from Tokyo who finds himself summoned to the medieval fantasy world of Byston Well. Upon arrival, he is put into service under the ambitious lord Drake Luft, who seeks to greatly expand his power. Those like Shou who come from ""Upper Earth"" possess strong aura power and are ordered to pilot ""Aura Battlers,"" insectoid mecha designed by a man named Shot Weapon, who also came from Upper Earth.\n\nHowever, Shou\'s alliances quickly change when he meets Marvel Frozen, a young woman who has decided to rebel against Drake\'s political agenda. As he realizes the lord\'s true intentions, the boy chooses to join the fight against Drake and team up with Neal Given, who leads the resistance movement. The resistance isn\'t alone\xe2\x80\x94Riml, daughter of their enemy and Neal\'s secret love, aids their efforts, hoping to escape from her father\'s clutches. As Shou finds himself fighting alongside his new comrades, they put their lives on the line to prevent the villainous Drake from taking over Byston Well before it\'s too late.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Rean no Tsubasa', b'Byston Well Monogatari: Garzey no Tsubasa', b'Seisenshi Dunbine OVA', b'Seisenshi Dunbine Memorial']
animeCharacters	[b'Zama, Shou', b'Fau, Cham', b'Frozen, Marvel', b'Lapana, Ciela', b'Guinness, Todd', b'Weapon, Shot', b'Given, Neal', b'Hunm, Elle', b'Coochibie, Jeryll', b'Light, Zet']
animeVoices	[b'\nNakahara, Shigeru\nJapanese\n', b'\nKawamura, Maria\nJapanese\n', b'\nDoi, Mika\nJapanese\n', b'\nTakahashi, Miki\nJapanese\n', b'\nOsaka, Hidemi\nJapanese\n', b'\nTanaka, Masahiko\nJapanese\n', b'\nAtaka, Makoto\nJapanese\n', b'\nSasaki, Run\nJapanese\n', b'\nOtsuka, Tomoko\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTomino, Yoshiyuki\n\nDirector, Original Creator\n\n', b'\nIuchi, Shuji\n\nEpisode Director, Storyboard\n\n', b'\nMacek, Carl\n\nScript, ADR Director\n\n', b'\nTomita, Sukehiro\n\nScript\n\n']
