animeTitle	b'Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	36283
animeRank	
animePopularity	
animeDescription	"b""Junior High student Nao's brother complex is so strong, it's almost at the point of incest. She's determined to make her brother, High School student Shuusuke, see her as a woman. So determined, that she goes as far as going into his room to throw away all his non-incest related porn. But as she's looking for his porno stash, she finds a photo album... and she's not in any of his childhood pictures. What is going on?\n\n(Source: MU)"""
animeRelated	[b'Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!', b'Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!! Special']
animeCharacters	[b'Takanashi, Nao', b'Tsuchiura, Iroha', b'Kondou, Mayuka', b'Takanashi, Shuusuke', b'Takanashi, Nanaka', b'Kusuhara, Hirono', b'Kishikawa, Keiichiro', b'Takanashi, Shuuji', b'Katou, Haruka', b'Kurozaki, Daigo']
animeVoices	[b'\nKitamura, Eri\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nAranami, Kazusa\nJapanese\n', b'\nToyonaga, Toshiyuki\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nShiraishi, Ryouko\nJapanese\n', b'\nTachibana, Shinnosuke\nJapanese\n', b'\nOgihara, Hideki\nJapanese\n', b'\nNakamura, Eriko\nJapanese\n', b'\nIchiki, Mitsuhiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMotonaga, Keitarou\n\nDirector\n\n', b'\nEbina, Yasunori\n\nSound Director\n\n', b'\nKobayashi, Kouji\n\nEpisode Director\n\n', b'\nNemoto, Toshizou\n\nScript\n\n']
