animeTitle	Urda
animeType	ONA
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	4.53
animeUsers	1646
animeRank	
animePopularity	7918
animeDescription	"This fictional story took place in Europe around 1943. At that time Nazi secretly plotted a plan called Urda. Two agents, Janet and Erna received a task to investigate and prevent the completion of the secret plan.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Kurtz, Erna', 'Kurtz, Glimhild', 'Alan', 'Hunter, Janet']
animeVoices	[]
animeStaff	[['Higa, Romanov', 'Director']]
