animeTitle	TV Yarou Nanaana
animeType	TV
animeNumEpisode	24
releaseDate	2018-04-06 00:00:00
endDate	2018-09-14 00:00:00
animeNumMembers	1436
animeScore	6.26
animeUsers	554
animeRank	7412
animePopularity	10278
animeDescription	An adult comedy series about a film crew of banana men who work for a television station. In order to boost ratings they have to follow the absurd requests of the boss.
animeRelated	['TV Yarou Nanaana: Wakuwaku Doukutsu Land']
animeCharacters	['Nanaoka', 'Nanayama', 'Nanamori']
animeVoices	[]
animeStaff	[['Fumihara, Satoshi', 'Director, Script']]
