animeTitle	Love Live! School Idol Project OVA
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.86
animeUsers	24858
animeRank	
animePopularity	2643
animeDescription	Bundled with the sixth single of the anime's μ's idol group.
animeRelated	['Love Live! School Idol Project']
animeCharacters	['Nishikino, Maki', 'Yazawa, Niko', 'Toujou, Nozomi', 'Minami, Kotori', 'Sonoda, Umi', 'Kousaka, Honoka', 'Hoshizora, Rin', 'Ayase, Eri', 'Koizumi, Hanayo']
animeVoices	['Pile', 'Tokui, Sora', 'Kusuda, Aina', 'Uchida, Aya', 'Mimori, Suzuko', 'Nitta, Emi', 'Iida, Riho', 'Nanjou, Yoshino', 'Kubo, Yurika']
animeStaff	[['Kyougoku, Takahiko', 'Director, Episode Director, Storyboard'], ['Hata, Aki', 'Theme Song Lyrics'], ['Fujisawa, Yoshiaki', 'Music'], ['Yatate, Hajime', 'Original Creator']]
