animeTitle	Ajin Senshi
animeType	Movie
animeNumEpisode	1
releaseDate	1990-11-17 00:00:00
endDate	
animeNumMembers	
animeScore	6.05
animeUsers	185
animeRank	
animePopularity	10056
animeDescription	"In the year 2200 an interstellar war is held where the weapons most frequently used are the psychic capacities. The hero, Zero, son of an earthling and an extraterrestrial, the prince and last survivor of a clan of magicians. He will fight against the army of the Manjidara empire, whose forces are such as its head ambition to control the whole universe.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Zero', 'Toruma', 'Catherine', 'March', 'Jaraharumen', 'Dobos', 'Mint', 'Ronda', 'Haji', 'Vathek']
animeVoices	['Matsumoto, Yasunori', 'Sakurai, Toshiharu', 'Matsui, Naoko', 'Fujimoto, Yuzuru', 'Senda, Mitsuo', 'Shimaka, Yuu', 'Sasaoka, Shigezou', 'Ogata, Kenichi', 'Tomiyama, Kei', 'Tomita, Kousei']
animeStaff	[['Dezaki, Satoshi', 'Producer'], ['Tominaga, Tsuneo', 'Director, Storyboard'], ['Takahashi, Hideki', 'Key Animation'], ['Nakajima, Yuuki', 'Music']]
