animeTitle	b'Love Get Chu'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	1546
animeRank	
animePopularity	
animeDescription	"b""Five girls came to a training school to become voice actresses holding each thought in her mind. Momoko - she wanted to be a voice actress to meet her favorite voice actor. Rinka - she is an armature voice actress, but she didn't have special purpose to become voice actress. Yurika - she likes anime very much. Tsubasa - she was a girl in love, and acted only as a boy. Amane - she found a deadlock as a actress and tried to find another way. They managed to get over the difficulty to become voice actress although they couldn't perform as main characters yet. There is a love romance with a boy works for an anime company, and you can catch a glimpse of situations of anime industries.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Maeda, Atari', b'Sasaki, Yurika', b'Suzuki, Rinka', b'Oohara, Amane', b'Onodera, Tsubasa', b'Ichihara, Momoko', b'Ichinose, Minato', b'Daimon, Eri', b'Takemiya, Mitsuko', b'Narita, Runa']
animeVoices	[b'\nTakahashi, Naozumi\nJapanese\n', b'\nHase, Yurina\nJapanese\n', b'\nShintani, Ryouko\nJapanese\n', b'\nYamamoto, Maria\nJapanese\n', b'\nSakamoto, Azuma\nJapanese\n', b'\nTakamoto, Megumi\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nNozawa, Masako\nJapanese\n', b'\nImai, Yuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTanaka, Hideyuki\n\nSound Director\n\n', b'\nImazaki, Itsuki\n\nEpisode Director, Storyboard, Key Animation, Animation Director\n\n', b'\nIshikura, Kenichi\n\nEpisode Director, Storyboard\n\n', b'\nKatou, Tsurugi\n\nEpisode Director\n\n']
