animeTitle	b'Koisuru Boukun'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	35340
animeRank	
animePopularity	
animeDescription	b'Tetsuhiro Morinaga is in love with his upperclassman Souichi Tatsumi. He even manages to confess his love. Too bad it turns out that Tatsumi is an aggressive, self-centered, and outspoken homophobe.\n\nYet somehow Tetsuhiro managed to fall in love with Tatsumi, the \xe2\x80\x9cwalking personality disorder,\xe2\x80\x9d who is the kind of man who declares that all gay men should be wiped off the face of the planet. \n\nAn unfortunate accident with an aphrodisiac drug brings the two men physically together against Souichi\xe2\x80\x99s will. The experience has a life-changing effect on both men. But will it ultimately bring them closer, or drive them apart?'
animeRelated	[b'Koisuru Boukun']
animeCharacters	[b'Tatsumi, Souichi', b'Morinaga, Tetsuhiro', b'Tatsumi, Tomoe', b'Tatsumi, Kanako', b'Kurokawa, Mitsugu', b'Hiroto']
animeVoices	[b'\nMidorikawa, Hikaru\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n', b'\nMiyata, Kouki\nJapanese\n', b'\nKyo, Ayaka\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nHirakawa, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawakubo, Keiji\n\nDirector\n\n', b'\nTakanaga, Hinako\n\nOriginal Creator\n\n', b'\nAbe, Nobuyuki\n\nSound Manager\n\n']
