animeTitle	One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.72
animeUsers	17115
animeRank	
animePopularity	3181
animeDescription	The special will revisit the childhood past of the three sworn brothers Luffy, Ace, and Sabo, when they all dreamed of becoming pirates. In addition, it will depict how Sabo originally came into the kingdom of Dressrosa (which was not depicted in Eiichiro Oda's original manga or the television anime), as well as his reunion with Luffy from his point of view.
animeRelated	['One Piece']
animeCharacters	['Monkey D., Luffy', 'Portgas D., Ace', 'Sabo', 'Roronoa, Zoro', 'Sanji', 'Trafalgar, Law', 'Nico, Robin', 'Tony Tony, Chopper', 'Usopp', 'Nami']
animeVoices	['Tanaka, Mayumi', 'Sakaguchi, Daisuke', 'Takeuchi, Junko', 'Nakai, Kazuya', 'Hirata, Hiroaki', 'Kamiya, Hiroshi', 'Yamaguchi, Yuriko', 'Ootani, Ikue', 'Yamaguchi, Kappei', 'Okamura, Akemi']
animeStaff	[['Koga, Gou', 'Director, Episode Director'], ['Kamisaka, Hirohiko', 'Script'], ['McFarland, Mike', 'ADR Director'], ['Fukunaga, Gen', 'Executive Producer']]
