animeTitle	Touch: Sebangou no Nai Ace
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.73
animeUsers	781
animeRank	
animePopularity	9330
animeDescription	"Compilation movie of the first year of Touch timeline. Contains plot differences, added scenes and an alternate ending.

(Source: Crunchyroll)"
animeRelated	['Touch', 'Touch 2: Sayonara no Okurimono']
animeCharacters	['Uesugi, Tatsuya', 'Asakura, Minami', 'Uesugi, Kazuya', 'Harada, Shouhei', 'Punch', 'Matsudaira, Koutarou', 'Nishio, Sachiko', 'Master', 'Kuroki, Takeshi', 'Captain of Boxing Team']
animeVoices	['Mitsuya, Yuuji', 'Hidaka, Noriko', 'Nanba, Keiichi']
animeStaff	[['Sugii, Gisaburou', 'Director, Script'], ['Adachi, Mitsuru', 'Original Creator'], ['Oota, Masahiko', 'In-Between Animation'], ['Serizawa, Hiroaki', 'Music']]
