animeTitle	Gakkou no Kaidan (OVA)
animeType	OVA
animeNumEpisode	10
releaseDate	2005-07-06 00:00:00
endDate	2009-08-15 00:00:00
animeNumMembers	1033
animeScore	6.41
animeUsers	179
animeRank	6640
animePopularity	11067
animeDescription	OVAs included in the August and September issues of Comic Bun Bun between 2005 and 2009. In 2005 and 2006, the anime came on VHS tapes. It switched to DVD in 2007.
animeRelated	['Gakkou no Kaidan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
