animeTitle	"Tekkamen wo Oe: ""d'Artagnan Monogatari"" yori"
animeType	Special
animeNumEpisode	1
releaseDate	1987-05-05 00:00:00
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	233
animeRank	
animePopularity	11962
animeDescription	Based on The Three Musketeers by Alexandre Dumas.
animeRelated	['Anime Sanjuushi']
animeCharacters	"[""D'Artagnan"", 'Bonacieux, Constance', 'Aramis', 'Athos', 'Louis XIII', 'Jean', 'Milady', 'Porthos', 'Iron Mask', 'Sharumen']"
animeVoices	['Furukawa, Toshio', 'Hidaka, Noriko', 'Yamada, Eiko', 'Kamiya, Akira', 'Tanaka, Hideyuki', 'Tanaka, Mayumi', 'Hirano, Fumi', 'Satou, Masamichi', 'Hayashibara, Megumi']
animeStaff	[['Yuyama, Kunihiko', 'Director'], ['Tanami, Yasuo', 'Script'], ['Dumas, Alexandre', 'Original Creator'], ['Tsuji, Hatsuki', 'Animation Director']]
