animeTitle	b'Xi Yangyang Yu Hui Tailang: Xi Qi Yangyang Guo She Nian'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'In the face of impending disaster, the animal world is looking to the Mythical Ark for salvation. The problem is that only the snake tribe can operate the ark, and the snakes have already escaped to Utopia. To save the animals, Pleasant Goat and Big Big Wolf travel to Utopia to convince the snakes to help. In the process, they become friends, and the snakes agree to help. However, Pleasant Goat and Big Big Wolf decide to stay behind to save their homes. \n\n(Source: YesAsia)'
animeRelated	[b'Xi Yangyang Yu Hui Tailang: Kaixin Chuang Long Nian', b'Xi Yangyang Yu Hui Tailang: Fei Ma Qi Yu Ji']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
