animeTitle	Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. OVA
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.81
animeUsers	21421
animeRank	
animePopularity	2701
animeDescription	"Raul's sister has come all the way from Raul's home village to see her brother who has ""become a hero."" Raul and his fellow co-workers think its a better idea to trick his sister to thinking Raul is a real hero.

(Source: Wikipedia)"
animeRelated	['Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.']
animeCharacters	['Bloodstone, Fino', 'Chaser, Raul', 'Chaser, Miuri', 'Beliferal, Lore', 'August, Seara', 'Luminous, Nova', 'Do Aximemor, Lamdimia', 'Crucial, Elsa', 'Ortinet, Airi', 'Crossroads, Visor']
animeVoices	['Tadokoro, Azusa', 'Koumoto, Keisuke', 'Uchida, Aya', 'Takaragi, Kumi', 'Shimagata, Maina', 'Sowa, Madoka', 'Yamada, Natsumi', 'Nitta, Emi', 'Iwasaki, Kanae', 'Kawahara, Yoshihisa']
animeStaff	[['Nagura, Yasushi', 'Sound Director'], ['Nihei, Yuuichi', 'Storyboard'], ['Nitta, Emi', 'Theme Song Performance'], ['Tadokoro, Azusa', 'Theme Song Performance']]
