animeTitle	KochinPa!
animeType	TV
animeNumEpisode	12
releaseDate	2015-12-22 00:00:00
endDate	2016-05-25 00:00:00
animeNumMembers	1955
animeScore	4.19
animeUsers	870
animeRank	11922
animePopularity	9509
animeDescription	"Anime adaptation of pachinko and slot machine parlor Island's ""Aira Project"" commercials. It follows three mascot characters: Aira, Hana, and Shima."
animeRelated	['KochinPa! Dainiki']
animeCharacters	['Aira', 'Hana', 'Shima']
animeVoices	['Pile', 'Hanazawa, Kana', 'Iguchi, Yuka']
animeStaff	[['Sugahara, Souta', 'Director, Script'], ['wogura', 'Character Design']]
