animeTitle	Berserk: Majo no Tsuisou
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.8
animeUsers	6213
animeRank	
animePopularity	4687
animeDescription	Recap episode of Berserk 2nd Season.
animeRelated	['Berserk 2nd Season']
animeCharacters	['Guts', 'Casca', 'Schierke', 'The Skull Knight', 'Puck', 'Serpico', 'de Vandimion, Farnese', 'Isidro', 'Slan', 'Mozgus']
animeVoices	['Iwanaga, Hiroaki', 'Yukinari, Toa', 'Saitou, Chiwa', 'Ootsuka, Akio', 'Mizuhara, Kaoru', 'Okitsu, Kazuyuki', 'Hikasa, Youko', 'Shimono, Hiro', 'Sawashiro, Miyuki', 'Koyama, Rikiya']
animeStaff	[['Miura, Kentarou', 'Original Creator']]
