animeTitle	Jungle Taitei (1989)
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	1359
animeRank	
animePopularity	7716
animeDescription	"Leo (a.k.a. Kimba in the U.S.) is a young ambitious lion cub who takes his father's place as emperor of the jungle when is father is killed by poachers. Even though his father's fate was met by the hands of humans, Leo is one of the few animals in the Jungle that doesn't fear or feel hatred toward humans. He is not alone either, he is guided by friends of his father to help create the best animal kingdom there can be. 

(Source: ANN)"
animeRelated	['Jungle Taitei']
animeCharacters	['Leo', 'Lyre', 'Panja', 'Gibo']
animeVoices	['Hayashibara, Megumi', 'Tamagawa, Sakiko', 'Sasaki, Isao']
animeStaff	[['Rintaro', 'Director'], ['Matsumi, Shinichi', 'Episode Director'], ['Itou, Tsunehisa', 'Script'], ['Asaka, Morio', 'Storyboard']]
