animeTitle	Vanquished Queens
animeType	OVA
animeNumEpisode	4
releaseDate	2013-03-29 00:00:00
endDate	2014-09-30 00:00:00
animeNumMembers	11820
animeScore	6.04
animeUsers	3425
animeRank	8498
animePopularity	4973
animeDescription	Vanquished Queens OVAs depict what happened to various characters who were absent in Queen's Blade: Rebellion and what happened to them after Queen's Blade: Utsukushiki Toushitachi.
animeRelated	"[""Queen's Blade: Utsukushiki Toushi-tachi"", ""Queen's Blade: Rebellion"", 'Vanquished Queens Specials']"
animeCharacters	['Airi', 'Nanael', 'Tomoe', 'Aldra', 'Vance, Leina', 'Nowa', 'Irma', 'Laila', 'Echidna', 'Menace']
animeVoices	['Itou, Kanae', 'Hirano, Aya', 'Noto, Mamiko', 'Taketatsu, Ayana', 'Kawasumi, Ayako', 'Takahashi, Mikako', 'Kano, Yui', 'Satou, Satomi', 'Kaida, Yuki', 'Tomonaga, Akane']
animeStaff	[['Itagaki, Shin', 'Director, Episode Director, Storyboard'], ['Kingetsu, Ryuunosuke', 'Script'], ['Oda, Non', 'Original Character Design'], ['Takamura, Kazuhiro', 'Original Character Design']]
