animeTitle	Makai Tenshi Djibril 3
animeType	OVA
animeNumEpisode	2
releaseDate	2009-09-25 00:00:00
endDate	2010-02-19 00:00:00
animeNumMembers	4817
animeScore	6.22
animeUsers	1585
animeRank	
animePopularity	7097
animeDescription	"Naoto lives a peaceful life after he saved Rika. But one day, the Misty May suddenly appears and Hikari is abducted by her. They are depressed because they can do nothing.... When he has a bath at night, a girl, Nagi, suddenly appears in front of him. Actually, Nagi is an android. One the next day, the Misty May appears again. Rika has a battle against her and Naoto makes up his mind to have sex with Nagi to save Rika...?

(Source: Himeya Shop)"
animeRelated	['Makai Tenshi Djibril: Episode 2']
animeCharacters	['Manabe, Rika', 'Jinno, Hikari', 'Jinno, Nagi', 'Loveriel', 'Jinno, Naoto', 'Misty Mei', 'Super X-32', 'Arai, Yukio', 'Hata, Shin', 'Faitus']
animeVoices	['Tomonaga, Akane', 'Hitomi', 'Ichimura, Oma', 'Motoi, Emi', 'Yanase, Natsumi', 'Naruse, Makoto', 'Mizushima, Takahiro', 'Tachibana, Shinnosuke']
animeStaff	[['Front Wing', 'Original Creator'], ['Kuuchuu, Yousai', 'Original Character Design']]
