animeTitle	Getter Robo Go
animeType	TV
animeNumEpisode	50
releaseDate	1991-02-11 00:00:00
endDate	1992-01-27 00:00:00
animeNumMembers	
animeScore	6.1
animeUsers	380
animeRank	
animePopularity	9508
animeDescription	A new Getter robot is piloted by three youth as they combat the evil terrors that plague the world.
animeRelated	['Shin Getter Robo tai Neo Getter Robo', 'Getter Robo', 'Getter Robo G']
animeCharacters	['Ichimonji, Go', 'Daido, Gai', 'Tachibana, Sho', 'Professor Lando']
animeVoices	['Kusao, Takeshi', 'Kamiya, Akira', 'Kobayashi, Yuko']
animeStaff	[['Nitta, Yoshikata', 'Episode Director'], ['Hoshiyama, Hiroyuki', 'Script'], ['Watanabe, Chuumei', 'Theme Song Arrangement, Theme Song Composition, Music'], ['Nakamura, Yutaka', 'Key Animation']]
