animeTitle	b'Bakunyuu Bomb'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	1584
animeRank	
animePopularity	
animeDescription	"b""A nurse that takes the job one step further by making her patients happy with special treatement. A housewive who is decieved by one of her neighboors to sign an unpayable debt and then she falls in the hand of the yakuza who make her perform as a sex toy. And a female teacher that can't hold her desires any longer and get herself some pleasure in the school bath but she was caught by some students and now she's the most popular sex dump of the town. \n\n\n(Source: ANN) """
animeRelated	[]
animeCharacters	[b'Wakatsuki, Risa', b'Shiina, Misaki', b'Tachibana, Kaoru']
animeVoices	[b'\nNishijima, Kaori\nJapanese\n', b'\nKanbayashi, Haruna\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUshijima, Yuji\n\nCharacter Design\n\n']
