animeTitle	Inari, Konkon, Koi Iroha.: Inari, Konkon, Semishigure.
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	12057
animeRank	
animePopularity	3720
animeDescription	"Unaired OVA bundled with limited edition eighth volume of the manga.

The episode centers around the actions of Inari and Kon."
animeRelated	['Inari, Konkon, Koi Iroha.']
animeCharacters	['Fushimi, Inari', 'Kon', 'Tanbabashi, Kouji', 'Tanbabashi, Shirou', 'Uka-no-Mitama-no-Kami', 'Sumizome, Akemi', 'Oomiyanome-no-kami', 'Sanjou, Keiko', 'Ootoshi-no-kami', 'Marutamachi, Chika']
animeVoices	['Oozora, Naomi', 'Hara, Sayuri', 'Okamoto, Hiroshi', 'Tougou, Subaru', 'Kuwashima, Houko', 'Nomizu, Iori', 'Mikami, Shiori', 'Ikebe, Kumiko', 'Koyasu, Takehito', 'Sadohara, Kaori']
animeStaff	"[['Takahashi, Tooru', 'Director, Episode Director, Storyboard'], ['Machida, Touko', 'Script'], ['Sakamoto, Maaya', 'Theme Song Performance'], [""May'n"", 'Theme Song Performance']]"
