animeTitle	b'Hyokkori Hyoutan Shima'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A group of kids are stranded on a volcanic deserted island.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Detective Dax', b'Don Gabacho', b'Nora', b'Kaizoku Torahige', b'Hakase', b'Sunday-sensei', b'Teke', b'Kid Boy', b'Lion']
animeVoices	[b'\nAmenomori, Masashi\nJapanese\n', b'\nFujimura, Arihiro\nJapanese\n', b'\nWakui, Setsuo\nJapanese\n', b'\nKumakura, Kazuo\nJapanese\n', b'\nNakayama, Chinatsu\nJapanese\n', b'\nKusunoki, Toshie\nJapanese\n', b'\nMasuyama, Eiko\nJapanese\n', b'\nFujita, Toshiko\nJapanese\n', b'\nTakiguchi, Junpei\nJapanese\n']
animeStaff	[]
