animeTitle	b'Kaleido Star'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	7.92
animeUsers	29879
animeRank	
animePopularity	
animeDescription	b'The Kaleido Stage is known throughout the world for captivating audiences with its amazing acrobatics, innovative routines, and extravagant costumes and sets. It is a place for guests to believe in magic, and Sora Naegino wants nothing more than to be a part of that magic\xe2\x80\x94by becoming an acrobat for the famed circus herself.\n\nTo realize her dream, she travels from Japan to California to audition for a place in the group. However, Sora learns that she needs much more than her natural talent to bring joy to the faces in the crowd. She quickly discovers just how difficult it is to be a professional performer where the stakes\xe2\x80\x94and the stunts\xe2\x80\x94are higher and mistakes spell danger! To put on performances worthy of the Kaleido Stage, she will need to endure rigorous training, unconventional assignments, fierce competition, and the antics of a mischievous spirit named Fool.\n\nCan Sora reach new heights, make new friends, conquer her fears, and surpass her limits to become a Kaleido Star?\n\n[Written by MAL Rewrite]'
animeRelated	[b'Kaleido Star: Aratanaru Tsubasa - Extra Stage', b'Kaleido Star: Good da yo! Goood!!']
animeCharacters	[b'Naegino, Sora', b'Hamilton, Layla', b'Fool', b'Oswald, Leon', b'Passel, Rosetta', b'Wong, May', b'Jonathan', b'Killian, Yuri', b'Heart, Anna', b'Robbins, Ken']
animeVoices	[b'\nHirohashi, Ryou\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nMizuhashi, Kaori\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nKozakura, Etsuko\nJapanese\n', b'\nHayamizu, Risa\nJapanese\n', b'\nWatanabe, Akeno\nJapanese\n', b'\nShimono, Hiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatou, Junichi\n\nDirector, Episode Director, Storyboard, Creator, Original Creator, Key Animation\n\n', b'\nDaichi, Akitarou\n\nDirector\n\n', b'\nHiramatsu, Tadashi\n\nDirector, Storyboard, Key Animation\n\n', b'\nHiraike, Yoshimasa\n\nDirector, Episode Director, 2nd Key Animation\n\n']
