animeTitle	Choisuji
animeType	OVA
animeNumEpisode	2
releaseDate	2007-06-22 00:00:00
endDate	2007-11-23 00:00:00
animeNumMembers	
animeScore	6.13
animeUsers	2561
animeRank	
animePopularity	6483
animeDescription	"Two stories, one about a little and innocent girl thats being lectured by her teacher but with a ""hand-pet"" since she gives more attention to what it says than to the teacher itself, so the teacher decides to get advantage of that point and introduce the little girl to adult matters. And the second about two friends that attend to a doctor to get some examinations but in order to give a test they must also get introduced into adult love."
animeRelated	['Choisuji']
animeCharacters	['Aikawa, Moe', 'Oizumi, Yo', 'Taka']
animeVoices	[]
animeStaff	[['Shiraishi, Michita', 'Director, Episode Director']]
