animeTitle	The Guts!
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	3174
animeRank	
animePopularity	6366
animeDescription	"Namamura Akitoshi is a college student who looks weak. He confesses his love to his girl friend, but she refused him saying he looks weak. He makes up his mind to do construction job to become strong. However, all the people he meets there are strange women. As an entrance examination, the manager forces him to make love with her.

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	['Takahara, Minako', 'Tanigawa, Harumi', 'Hayasaka, Akira', 'Oshima, Mutsuki', 'Nakajima, Akiyoshi', 'Miike, Hiroko', 'Yaguchi, Fumiko']
animeVoices	['Hitomi', 'Houjou, Asuka', 'Asai, Harumi']
animeStaff	[]
