animeTitle	b'Digital Juice'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.55
animeUsers	2492
animeRank	
animePopularity	
animeDescription	b'A series of short animations that show different worlds and different characters. These episodes are designed to take the viewer into a psychological world of fantasy and mystery.\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Neji', b'Hasami']
animeVoices	[b'\nMatsuoka, Fumiaki\nJapanese\n', b'\nFujita, Kaoru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorimoto, Kouji\n\nCo-Director, Director, Character Design, Setting\n\n', b'\nKobayashi, Osamu\n\nCo-Director\n\n', b'\nYaginuma, Kazuyoshi\n\nCo-Director, Color Design, Character Design, Animation Director\n\n', b'\nTanaka, Tatsuyuki\n\nCo-Director\n\n']
