animeTitle	Totsuzen! Neko no Kuni Banipal Witt
animeType	Movie
animeNumEpisode	1
releaseDate	1995-06-10 00:00:00
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	848
animeRank	
animePopularity	9036
animeDescription	"Fifth-grader, Toriyasu, and his little sister, Meeko, have a dog named Papadoll who has been missing for the past week. One night, two cats take the two children to the distant cat land of Banipal Witt, where Papadoll was abducted. Because of his long exposure to Banipal Witt's sun, Papadoll mutated into a giant dog monster, terrorizing the city under the control of the evil Princess Buburina, who has the curse of turning anyone she touches into balloons. Toriyasu, Meeko, and the cats have until the next sunrise to turn Papadoll and the ballooned citizens of Banipal Witt back to normal and return to their home planet—or end up with the same fate as their dog.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Buburina', 'Chuchu', 'Toriyasu ', 'Miiko', 'Lily ', 'King', 'Queen', 'Remlam', 'Doh-Doh', 'Suttoboke']
animeVoices	['Hidaka, Noriko', 'Iizuka, Mayumi', 'Iwata, Mitsuo', 'Kameyama, Sukekiyo']
animeStaff	[['Maseba, Yutaka', 'Producer'], ['Inoue, Hiroaki', 'Producer'], ['Maki, Taro', 'Producer'], ['Nakamura, Takashi', 'Director, Script, Character Design, Original Creator']]
