animeTitle	Shingeki no Kyojin
animeType	TV
animeNumEpisode	25
releaseDate	2013-04-07 00:00:00
endDate	2013-09-29 00:00:00
animeNumMembers	
animeScore	8.52
animeUsers	2179387
animeRank	
animePopularity	2
animeDescription	"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.

After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Based on Hajime Isayama's award-winning manga, Shingeki no Kyojin follows Eren, along with his adopted sister Mikasa Ackerman and his childhood friend Armin Arlert, as they join the brutal war against the titans and race to discover a way of defeating them before the last walls are breached.

[Written by MAL Rewrite]"
animeRelated	['Shingeki no Kyojin', 'Shingeki no Kyojin OVA', 'Shingeki no Kyojin: Ano Hi Kara', 'Shingeki no Kyojin: Chronicle', 'Shingeki no Kyojin Picture Drama', 'Shingeki no Kyotou', 'Snickers x Shingeki no Kyojin', 'Shingeki no Kyojin Movie 1: Guren no Yumiya', 'Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa', 'Shingeki no Kyojin Season 2', 'Shingeki no Kyojin: Kuinaki Sentaku', 'Shingeki! Kyojin Chuugakkou', 'Shingeki no Kyojin: Lost Girls']
animeCharacters	['Ackerman, Mikasa', 'Yeager, Eren', 'Arlert, Armin', 'Levi', 'Smith, Erwin', 'Zoë, Hange', 'Blouse, Sasha', 'Braun, Reiner', 'Kirstein, Jean', 'Leonhart, Annie']
animeVoices	['Ishikawa, Yui', 'Kaji, Yuki', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Ono, Daisuke', 'Park, Romi', 'Kobayashi, Yuu', 'Hosoya, Yoshimasa', 'Taniyama, Kishou', 'Shimamura, Yuu']
animeStaff	[['Wada, Jouji', 'Producer'], ['Nakatake, Tetsuya', 'Producer'], ['Araki, Tetsurou', 'Director, Episode Director, Storyboard'], ['Yabuta, Shuuhei', 'Director']]
