animeTitle	b'Maoujou de Oyasumi'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	8.01
animeUsers	63016
animeRank	
animePopularity	
animeDescription	"b'The Demon Lord Tasogare\'s castle is a dark and frightening place, filled to the brim with various monsters. Any soul unfortunate enough to be imprisoned here is sure to be terrified by the horrors within. However, the human princess Aurora Suya Rhys ""Syalis"" Kaymin is a different case. Rather indifferent to her situation, Syalis worries about one thing and one thing only\xe2\x80\x94sleep. Ever since the demon lord kidnapped her from her kingdom, she has not had a single good night\'s rest.\n\nTo alleviate her dozen dozing issues, the princess makes do with what she can find in the castle. Whether it be the fur of fluffy demonic teddy bears or the silky, blanket-like bodies of ghost shrouds, everything is but a means to ensure a peaceful slumber. With so many potential materials to craft items that can help her sleep at her disposal, nothing will stop the sleepy princess\xe2\x80\x94not even death.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Maoujou de Oyasumi', b'Mamono-tachi no Kunou']
animeCharacters	[b'Kaymin, Aurora Suya Rhys', b'Demon Lord Tasogare', b'Debi Akuma', b'Demon Cleric', b'Great Red Siberian', b'Sakkyun', b'Harpy', b'Hypnos', b'Alraune, Neo', b'Majiro, Haritoge ']
animeVoices	[b'\nMinase, Inori\nJapanese\n', b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nIshikawa, Kaito\nJapanese\n', b'\nKobayashi, Chikahiro\nJapanese\n', b'\nOzawa, Ari\nJapanese\n', b'\nOhashi, Ayaka\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nKoyama, Rikiya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamazaki, Mitsue\n\nDirector\n\n', b'\nShirahata, Yoshiyuki\n\nEpisode Director\n\n', b'\nMinase, Inori\n\nTheme Song Performance\n\n', b'\nORESAMA\n\nTheme Song Performance\n\n']
