animeTitle	Cannon Busters
animeType	ONA
animeNumEpisode	12
releaseDate	2019-08-15 00:00:00
endDate	
animeNumMembers	32586
animeScore	6.45
animeUsers	15552
animeRank	6405
animePopularity	3166
animeDescription	"Follow the adventures and exploits of S.A.M, a high-end, royal-class friendship droid who's joined by a quirky, discarded maintenance robot and a brash, deadly fugitive. Together, the unlikely trio embarks on an unforgettable journey in a fantastic and dangerous world in search of S.A.M's best friend, the heir to a powerful kingdom under siege.

(Source: Official Website)"
animeRelated	[]
animeCharacters	['Philly the Kid', 'Turnbuckle, Casey', 'S.A.M.', 'Hilda', 'Kelby', 'Odin', '9ine']
animeVoices	['Matsuoka, Yoshitsugu', 'Izawa, Shiori', 'Yano, Hinaki', 'Minagawa, Junko', 'Majima, Junji', 'Kuroda, Takaya', 'Akimoto, Yousuke']
animeStaff	[['Thomas, LeSean', 'Director, Original Creator'], ['Natori, Takahiro', 'Director'], ['Hamano, Takatoshi', 'Sound Director'], ['Lucindo, Fábio', 'ADR Director']]
