animeTitle	Guilty Crown: Kiseki - Reassortment
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.14
animeUsers	14659
animeRank	
animePopularity	3008
animeDescription	A one-hour Noitamina special that recaptures the first 11 episodes of Guilty Crown. 
animeRelated	['Guilty Crown']
animeCharacters	['Yuzuriha, Inori', 'Ouma, Shuu', 'Tsutsugami, Gai', 'Shinomiya, Ayase', 'Tsugumi', 'Menjou, Hare', 'Segai, Makoto Waltz', 'Yan, Daryl', 'Eagleman, Dan', 'Ouma, Haruka']
animeVoices	['Kayano, Ai', 'Kaji, Yuki', 'Nakamura, Yuuichi', 'Hanazawa, Kana', 'Taketatsu, Ayana', 'Shimamura, Yuu', 'Canna, Nobutoshi', 'Uchiyama, Kouki', 'Mogami, Tsuguo', 'Fujimura, Chika']
animeStaff	[['Araki, Tetsurou', 'Director'], ['EGOIST', 'Theme Song Performance'], ['supercell', 'Theme Song Performance'], ['ryo', 'Theme Song Arrangement, Theme Song Lyrics, Theme Song Composition']]
