animeTitle	Dokidoki Little Ooyasan
animeType	OVA
animeNumEpisode	6
releaseDate	2018-05-25 00:00:00
endDate	2019-12-27 00:00:00
animeNumMembers	14901
animeScore	7.15
animeUsers	5026
animeRank	
animePopularity	4538
animeDescription	"Tanaka Daisuke is an ordinary college student living alone since last year. He occupies a run-down and cramped apartment—just like many other young adults.

However, there is one peculiar bonus about living in his accommodation. Whenever he settles his rent, he receives sexual services from the landlady, Asou Miyuri. Despite her childish looks, she is a grown woman who is more than eager to experience the charms of Tanaka's masculine body.

At first shy and overwhelmed by her relaxed and outgoing approach, Daisuke soon starts looking forward to these monthly meetings, as Asou treats him to all kinds of naughty positions and kinky outfits no young man could ever resist.

[Written by MAL Rewrite]
"
animeRelated	[]
animeCharacters	['Asou, Miyuri']
animeVoices	[]
animeStaff	[]
