animeTitle	Zoku Owarimonogatari
animeType	Movie
animeNumEpisode	6
releaseDate	2018-11-10 00:00:00
endDate	
animeNumMembers	
animeScore	8.48
animeUsers	79724
animeRank	
animePopularity	982
animeDescription	"Graduation day is finally here, marking the end of Koyomi Araragi's eccentric high school life full of peculiar relationships with otherworldly beings.

However, Araragi is unexpectedly absorbed into his own bathroom mirror and trapped inside a bizarre world where everything he knows is completely reversed—the haughty Karen Araragi is shorter than usual, poker-faced Yotsugi Ononoki is brimming with emotion, and cute ghost girl Mayoi Hachikuji is a grown woman! But not everything is as it seems.

Zoku Owarimonogatari details the story of Araragi's endeavors in this new world as he struggles to return to his home and understand the nature of this bizarre dimension.

[Written by MAL Rewrite]"
animeRelated	['Monogatari Series: Final Season', 'Hanamonogatari', 'Owarimonogatari 2nd Season']
animeCharacters	['Araragi, Koyomi', 'Senjougahara, Hitagi', 'Oshino, Shinobu', 'Hanekawa, Tsubasa', 'Hachikuji, Mayoi', 'Kanbaru, Suruga', 'Sengoku, Nadeko', 'Oshino, Ougi', 'Ononoki, Yotsugi', 'Araragi, Karen']
animeVoices	['Kamiya, Hiroshi', 'Saitou, Chiwa', 'Sakamoto, Maaya', 'Horie, Yui', 'Katou, Emiri', 'Sawashiro, Miyuki', 'Hanazawa, Kana', 'Mizuhashi, Kaori', 'Hayami, Saori', 'Kitamura, Eri']
animeStaff	[['Shinbou, Akiyuki', 'Director, Series Composition'], ['Tsuruoka, Youta', 'Sound Director'], ['Okada, Kenjirou', 'Episode Director, Storyboard'], ['Ootani, Hajime', 'Episode Director, Storyboard']]
