animeTitle	b'Nurarihyon no Mago Recaps'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	6737
animeRank	
animePopularity	
animeDescription	b'Nurarihyon no Mago Recaps.'
animeRelated	[b'Nurarihyon no Mago', b'Nurarihyon no Mago: Sennen Makyou Recaps']
animeCharacters	[b'Nura, Rikuo', b'Ienaga, Kana', b'Gyuki', b'Oikawa, Tsurara', b'Keikain, Yura']
animeVoices	[b'\nMaeda, Ai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTosaka, Shin\n\nEpisode Director\n\n', b'\nMONKEY MAJIK\n\nTheme Song Performance\n\n', b'\nKatate Size\n\nTheme Song Performance\n\n', b'\nShiibashi, Hiroshi\n\nOriginal Creator\n\n']
