animeTitle	b'D+vine Luv'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	1209
animeRank	
animePopularity	
animeDescription	"b""Hyde is a traveling treasure hunter who arrived in Arville with his childhood friend Sakura. Near Arville is a cave, its the largest ruin of the world. Hyde came across a dying man, whom placed a mysterious amulet within Hyde's hands. A week later, the amulet started to glow.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Hyde', b'Prior']
animeVoices	[b'\nSakurai, Takahiro\nJapanese\n', b'\nKoorogi, Satomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakahashi, Hideo\n\nSound Director\n\n', b'\nTakatsu, Yukio\n\nKey Animation, Animation Director, Character Design\n\n', b'\nNagano, Miharu\n\nKey Animation\n\n']
