animeTitle	Sore ga Seiyuu!
animeType	TV
animeNumEpisode	13
releaseDate	2015-07-07 00:00:00
endDate	2015-09-29 00:00:00
animeNumMembers	47439
animeScore	7.05
animeUsers	16222
animeRank	3573
animePopularity	2572
animeDescription	"Dreaming of becoming a top-tier professional in the fast-paced, competitive world of voice acting, rookie Futaba Ichinose frantically scurries around, searching for auditions and performance sessions. Rubbing elbows with some of the biggest names in the industry, she tries to find her own unique voice and style.

Along the way, she befriends two important allies: Ichigo Moesaki, an aspiring idol who claims to be a princess from another planet, and Rin Kohana, a cheerful child actress who tries her best to balance her career and school at the same time. Together, the girls brave the ups and downs of the entertainment industry—but as for Futaba, whose performance assessment at her agency is just around the corner, her career might be over sooner than expected! Sore ga Seiyuu! is a humorous and sincere celebration of the industry that gives anime its voice.

[Written by MAL Rewrite]"
animeRelated	['Sore ga Seiyuu!', 'Sore ga Seiyuu!: Petit Uchiage']
animeCharacters	['Ichinose, Futaba', 'Moesaki, Ichigo', 'Kohana, Rin', 'Tamura, Yukari', 'Kugimiya, Rie', 'Konno, Aoi', 'Kamiya, Hiroshi', 'Horie, Yui', 'Nozawa, Masako', 'Atsumari']
animeVoices	['Takahashi, Rie', 'Nagaku, Yuki', 'Kouno, Marika', 'Tamura, Yukari', 'Kugimiya, Rie', 'Furuki, Nozomi', 'Kamiya, Hiroshi', 'Horie, Yui', 'Nozawa, Masako', 'Koshimizu, Ami']
animeStaff	[['Miyamoto, Junnosuke', 'Producer, Planning'], ['Ikehata, Hiroshi', 'Director, Episode Director, Storyboard'], ['Motoyama, Satoshi', 'Sound Director'], ['Iino, Shinya', 'Episode Director, Storyboard']]
