animeTitle	b'Chuukan Kanriroku Tonegawa'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.15
animeUsers	9573
animeRank	
animePopularity	
animeDescription	"b'Chuukan Kanriroku Tonegawa is a spin-off of the Kaiji series, which follows Tonegawa, the right hand man of Kazutaka Hyoudou, the president of the Teiai Corporation and owner of numerous gambling tournaments. After Hyoudou is getting bored with his life, he orders Tonegawa to organize a so called ""game of death"" as it is his and his subordinate\'s job to keep the president in a good mood. Tonegawa must cooperate with his subordinates in order to make the president happy and what follows is a humorous story of his interactions with his subordinates and other characters of the Kaiji series.\n\n(Source: MAL News)'"
animeRelated	[b'Chuukan Kanriroku Tonegawa', b'1-nichi Gaishutsuroku Hanchou', b'Gyakkyou Burai Kaiji: Ultimate Survivor']
animeCharacters	[b'Tonegawa, Yukio', b'Itou, Kaiji', b'Hyoudou, Kazutaka', b'Ichijou, Seiya', b'Narrator', b'Endou, Yuuji', b'Ootsuki, Tarou', b'Ebitani', b'Nishiguchi, Saeko', b'Miyamoto, Hajime']
animeVoices	[b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nHagiwara, Masato\nJapanese\n', b'\nTsukayama, Masane\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nKabira, Jay\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nCho\nJapanese\n', b'\nYashiro, Taku\nJapanese\n', b'\nMaeda, Rena\nJapanese\n', b'\nMasuda, Toshiki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawaguchi, Keiichirou\n\nDirector, Script, Storyboard\n\n', b'\nKoizumi, Kisuke\n\nSound Director\n\n', b'\nKawajiri, Yoshiaki\n\nStoryboard\n\n', b'\nWatanabe, Shinichi\n\nStoryboard\n\n']
