animeTitle	Green Saver
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15756
animeDescription	Nalong, Ukkya, and Longman have teamed up to defend the Earth from alien invaders who are here to pollute the environment! Lulu forest is no longer the main threatened area as the trio travels the world and helps out other animals in need. 
animeRelated	['Kwaegeol Longman Narongi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
