animeTitle	Minami-ke Natsuyasumi
animeType	OVA
animeNumEpisode	1
releaseDate	2013-08-06 00:00:00
endDate	
animeNumMembers	16692
animeScore	7.38
animeUsers	7959
animeRank	2047
animePopularity	4334
animeDescription	"Second Minami-ke OVA bundled with the 11th volume of the manga.

Chiaki, Kana, and Haruka decide how to spend their last few days of summer together.  Kana struggles to finish her homework."
animeRelated	['Minami-ke', 'Minami-ke Tadaima']
animeCharacters	['Minami, Kana', 'Minami, Chiaki', 'Minami, Haruka', 'Hosaka', 'Makoto', 'Minami, Touma', 'Uchida, Yuka', 'Fujioka', 'Hitomi', 'Minami, Natsuki']
animeVoices	['Inoue, Marina', 'Chihara, Minori', 'Satou, Rina', 'Ono, Daisuke', 'Morinaga, Rika', 'Mizuki, Nana', 'Kitamura, Eri', 'Kakihara, Tetsuya', 'Yoshino, Hiroyuki']
animeStaff	[['Kawaguchi, Keiichirou', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Inoue, Marina', 'Theme Song Performance'], ['Chihara, Minori', 'Theme Song Performance']]
