animeTitle	b'Time Bokan Series: Zenderman'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	5.93
animeUsers	181
animeRank	
animePopularity	
animeDescription	"b'Dr Monja is a scientist who is curious about the nature of the legendary Elixir of Life which grants the drink eternal lifetimes and forever youth. He built a device called the ""Time Tunnel"" in order to let a team of youngsters to start a quest down the timeline and various spaces to find an exact answer. A trio of villains, however, is also seemingly after the exact same thing.\n\n(Source: Wikipedia)'"
animeRelated	[b'Time Bokan']
animeCharacters	[b'Tetsu', b'Tobocke', b'Sakura', b'Donjuro', b'Muujo', b'Zender-Lion', b'Dr. Monjya', b'Amattan', b'Nyaravolta', b'Narrator']
animeVoices	[b'\nMitsuya, Yuuji\nJapanese\n', b'\nYanami, Jouji\nJapanese\n', b'\nTakizawa, Kumiko\nJapanese\n', b'\nTatekabe, Kazuya\nJapanese\n', b'\nOhara, Noriko\nJapanese\n', b'\nYamamoto, Masayuki\nJapanese\n', b'\nMiyauchi, Kouhei\nJapanese\n', b'\nIchiryuusai, Harumi\nJapanese\n', b'\nIkeda, Masaru\nJapanese\n', b'\nTomiyama, Kei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasagawa, Hiroshi\n\nDirector\n\n', b'\nYuyama, Kunihiko\n\nEpisode Director\n\n', b'\nYamamoto, Masayuki\n\nTheme Song Performance\n\n', b'\nOokawara, Kunio\n\nMechanical Design\n\n']
