animeTitle	Wizardry
animeType	OVA
animeNumEpisode	1
releaseDate	1991-02-20 00:00:00
endDate	
animeNumMembers	
animeScore	5.78
animeUsers	1132
animeRank	
animePopularity	8846
animeDescription	"Based on the first Wizardry game ""The Proving Grounds of the Mad Overlord"", a group of characters enter a dungeon to confront the ultimate wizard to prevent him from reaching an unstoppable power. On their way they meet up with a few new friends who have their own battles to settle, but their paths lay together.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Alex', 'Werdna', 'Shiela', 'Albert', 'Joeza', 'Shin', 'Hawkwind', 'Vampire Lord', 'Randy', 'Flack']
animeVoices	['Nanba, Keiichi', 'Utsumi, Kenji', 'Toda, Keiko', 'Shioya, Yoku', 'Nagai, Ichiro', 'Furukawa, Toshio', 'Genda, Tesshou', 'Kishino, Yukimasa', 'Wakamoto, Norio', 'Nakao, Ryusei']
animeStaff	[['Kodama, Kenji', 'Storyboard'], ['Kasahara, Hiroko', 'Theme Song Performance'], ['Miyamae, Mitsuharu', 'Art Director'], ['Fukuda, Noriyuki', 'Animation Director']]
