animeTitle	Huyao Xiao Hongniang: Yue Hong
animeType	ONA
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.66
animeUsers	4326
animeRank	
animePopularity	4898
animeDescription	Third season of Huyao Xiao Hongniang.
animeRelated	['Xiangsishu Xia', 'Huyao Xiao Hongniang: Wangquan Fugui', 'Huyao Xiao Hongniang: Beishan Yaodi', 'Huyao Xiao Hongniang: Yue Hong 2']
animeCharacters	['Tushan, Susu', 'Bai, Yuechu', 'Tushan, Honghong', 'Dongfang, Yuechu', 'Tushan, Yaya', 'Tushan, Rongrong', 'Qing , Tong', 'Fan, Yunfei', 'Huandu, Luolan', 'Li, Xueyang']
animeVoices	['Asumi, Kana', 'Hatano, Wataru', 'Tanaka, Aimi', 'Yonezawa, Madoka', 'Kanemoto, Hisako', 'Inoue, Marina', 'Tachibana, Shinnosuke', 'Uchida, Maaya', 'Imai, Asami']
animeStaff	[['Lin, Heye', 'Theme Song Composition']]
