animeTitle	Dia Horizon
animeType	ONA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12964
animeDescription	The web anime of Dia Horizon; characters are featured as chibis as they break the 4th wall to talk about their own real-life mobile game (which is being released this month). As well as promoting the full length TV anime coming out in a October 2017 as well as the 4-koma manga available now.
animeRelated	['Dia Horizon (Kabu)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
