animeTitle	YU-NO
animeType	OVA
animeNumEpisode	4
releaseDate	1998-10-23 00:00:00
endDate	1999-09-24 00:00:00
animeNumMembers	3443
animeScore	4.93
animeUsers	871
animeRank	
animePopularity	8031
animeDescription	"Takuya's father died during an accident while he was doing research. Worried about his young stepmother, Ayumi, Takuya follows her to Ken point. Watching her and her best friend, Mitsuki, from behind a rock, a sudden flash of light turns into an unearthly beautiful woman. The mysterious woman slips a ring on his finger, and Takuya's travels into a parallel world begins. 

This ring is the key between Takuya and his different realities.

(Source: AniDB)"
animeRelated	['Kono Yo no Hate de Koi wo Utau Shoujo YU-NO']
animeCharacters	['Yu-no']
animeVoices	['Koyama, Kimiko']
animeStaff	[['Takahashi, Takeo', 'Animation Director, Key Animation'], ['ELF Corporation', 'Original Creator'], ['Nagaoka, Yasuchika', 'Original Character Design']]
