animeTitle	Ikkitousen: Extravaganza Epoch
animeType	OVA
animeNumEpisode	2
releaseDate	2014-12-21 00:00:00
endDate	2014-12-28 00:00:00
animeNumMembers	
animeScore	6.58
animeUsers	3679
animeRank	
animePopularity	4946
animeDescription	New Ikkitousen OVA.
animeRelated	['Ikkitousen: Shuugaku Toushi Keppuuroku', 'Ikkitousen: Western Wolves']
animeCharacters	"[""Kan'u, Unchou"", 'Ryomou, Shimei', 'Sonsaku, Hakufu', 'Shuuyu, Koukin', ""Chou'un, Shiryuu"", 'Ryuubi, Gentoku', 'Kakouen, Myousai', 'Kakouton, Genjou', 'Sousou, Moutoku', 'Chouhi, Ekitoku']"
animeVoices	['Nabatame, Hitomi', 'Kaida, Yuuko', 'Asano, Masumi', 'Hino, Satoshi', 'Asakawa, Yuu', 'Shindou, Kei', 'Kitamura, Eri', 'Sakaguchi, Shuuhei', 'Akagi, Susumu', 'Chihara, Minori']
animeStaff	[['Kudou, Masashi', 'Director, Chief Animation Director'], ['Shimizu, Katsunori', 'Sound Director'], ['Ookubo, Masahiro', 'Script'], ['Takanashi, Yasuharu', 'Music']]
