animeTitle	Hidamari Sketch x 365
animeType	TV
animeNumEpisode	13
releaseDate	2008-07-04 00:00:00
endDate	2008-09-26 00:00:00
animeNumMembers	28631
animeScore	7.83
animeUsers	14123
animeRank	804
animePopularity	3358
animeDescription	"After passing her entrance exam, Yuno enrolls at Yamabuki High School as part of an art degree. She stays at the Hidamari Apartments along with best friend Miyako, and seniors Hiro and Sae. Each episode follows a day in her life as she mingles with her friends, close peers, overly hyper teachers and closely follows the mundane lives of the high school girls.

(Source: ANN)"
animeRelated	['Hidamari Sketch', 'Hidamari Sketch Specials', 'Hidamari Sketch x 365 Specials', 'Hidamari Sketch: Chou Hidamatsuri Special', 'Hidamari Sketch x 365 Recap']
animeCharacters	['Miyako', 'Yuno', 'Sae', 'Hiro', 'Yoshinoya', 'Natsume', 'The Principal', 'Ume', 'Oyasan', 'Chika']
animeVoices	['Mizuhashi, Kaori', 'Asumi, Kana', 'Shintani, Ryouko', 'Gotou, Yuuko', 'Matsuki, Miyu', 'Fukuen, Misato', 'Cho', 'Aoki, Ume', 'Sawashiro, Miyuki', 'Kugimiya, Rie']
animeStaff	[['Iwakami, Atsuhiro', 'Producer'], ['Ooshima, Miku', 'Assistant Producer, Script'], ['Shinbou, Akiyuki', 'Director, Storyboard'], ['Oishi, Tatsuya', 'Director, Episode Director, Storyboard, Key Animation']]
