animeTitle	Fate/Zero Cafe
animeType	Movie
animeNumEpisode	2
releaseDate	2013-07-13 00:00:00
endDate	2016-03-19 00:00:00
animeNumMembers	19163
animeScore	5.97
animeUsers	3736
animeRank	8783
animePopularity	4070
animeDescription	"The story re-imagines the cast of the Fate/Zero as cute super-deformed characters who open a café, led by Saber as the manager.

(Source: ANN)"
animeRelated	['Fate/Zero']
animeCharacters	['Saber', 'Lancer', 'Velvet, Waver', 'Uryuu, Ryuunosuke', 'Assassin', 'Gilgamesh', 'Rider', 'von Einzbern, Irisviel', 'Caster', 'El-Melloi Archibald, Kayneth']
animeVoices	[]
animeStaff	[['Type-Moon', 'Original Creator']]
