animeTitle	Yama Nezumi Rocky Chuck
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.05
animeUsers	328
animeRank	
animePopularity	10576
animeDescription	Various stories about a group of animals that live together in a forest. The stories are adaptations from the many children's books written by Thornton W. Burgess.
animeRelated	[]
animeCharacters	"['Rocky', 'Peter', ""Rocky's Father"", 'Chatara', ""Rocky's Mother"", 'Bobby', 'Red', 'Polly', 'Narrator']"
animeVoices	['Nagai, Ichiro', 'Kitamura, Kouichi', 'Tanonaka, Isamu', 'Senou, Reiko', 'Hase, Sanji', 'Tomiyama, Kei', 'Masuyama, Eiko', 'Asou, Miyoko']
animeStaff	[['Saitou, Hiroshi', 'Episode Director, Script'], ['Endou, Masaharu', 'Episode Director'], ['Kaneko, Yutaka', 'Script'], ['Nakayama, Chinatsu', 'Theme Song Lyrics']]
