animeTitle	Digimon Frontier
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	7.15
animeUsers	84640
animeRank	
animePopularity	1257
animeDescription	With five new kids and an exciting new mission in the Digital World, Digimon Frontier brings back all the great action and adventure of the last three seasons. Takuya, Kouji, Izumi, Junpei. and Tomoki meet each other in a train that takes them to the Digital World where a war against evil is being fought. The Angel digimon, Cherubimon, one of The three angels sent to save the World from the power-hungry Lucemon, has turned to the dark side and the entire Digital World is in peril. To fight this great battle, the five CHOSEN ONES must find the Densetsu no Spirit (Legendary Spirit).
animeRelated	['Digimon Frontier', 'Digimon Adventure', 'Digimon Savers', 'Digimon Tamers', 'Digimon Adventure 02', 'Digimon Xros Wars', 'Digimon Frontier: Ornismon Fukkatsu!!']
animeCharacters	['Minamoto, Kouji', 'Kanbara, Takuya', 'Kimura, Kouichi', 'Orimoto, Izumi', 'Shibayama, Junpei', 'Himi, Tomoki', 'Agnimon', 'Patamon', 'Gabumon', 'Gomamon']
animeVoices	['Kamiya, Hiroshi', 'Takeuchi, Junko', 'Suzumura, Kenichi', 'Ishige, Sawa', 'Shitanda, Michael', 'Watanabe, Kumiko', 'Araki, Kae', 'Hyo-sei', 'Kaida, Yuki']
animeStaff	[['Kaizawa, Yukio', 'Director, Episode Director'], ['Imamura, Takahiro', 'Episode Director'], ['Chioka, Kimitoshi', 'Episode Director'], ['Umezawa, Atsutoshi', 'Episode Director, Storyboard']]
