animeTitle	Marine Snow no Densetsu
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	125
animeRank	
animePopularity	12584
animeDescription	"This little-known and poorly documented Leiji Matsumoto TV movie, tells the story of the revolution of the people of the ocean which are being invaded by the humans from the surface.

(Source: Senscritique)"
animeRelated	[]
animeCharacters	['Shimaoka, Nami', 'Umino, Hiroshi', 'Izanami', 'Professor Oki', 'Zeina']
animeVoices	['Ichiryuusai, Harumi', 'Furuya, Toru', 'Fujita, Toshiko', 'Nagai, Ichiro', 'Tanaka, Hideyuki']
animeStaff	[['Fujikawa, Keisuke', 'Script, Screenplay'], ['Shiratori, Emiko', 'Theme Song Lyrics'], ['Ogasawara, Hiroshi', 'Theme Song Arrangement, Music'], ['Matsumoto, Leiji', 'Original Creator']]
