animeTitle	Kenritsu Umisora Koukou Yakyuubu-in Yamashita Tarou-kun
animeType	OVA
animeNumEpisode	1
releaseDate	1988-09-23 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14682
animeDescription	"Based on the popular 80's baseball manga by Koseki Kouji.

Tarou Yamashita loves baseball, but he was always the worst player. However, through effort and dedication he begins to shine in the Umisora High team.

(Source: AniDB)"
animeRelated	['Kenritsu Umisora Koukou Yakyuubu-in Yamashita Tarou-kun']
animeCharacters	['Yamashita, Tarou', 'Tatsumi', 'Shinma', 'Takakura', 'Tanaka', 'Yoshida']
animeVoices	['Maruyama, Hiroko', 'Genda, Tesshou', 'Yao, Kazuki', 'Shimada, Bin', 'Seki, Toshihiko', 'Tanaka, Mayumi']
animeStaff	[['Shibayama, Tsutomu', 'Director, Storyboard'], ['Tomita, Sukehiro', 'Screenplay'], ['Yamada, Michishiro', 'Animation Director, Character Design'], ['Koseki, Kouji', 'Original Creator']]
