animeTitle	Onegai☆Teacher: Himitsu na Futari
animeType	OVA
animeNumEpisode	1
releaseDate	2002-10-25 00:00:00
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	27121
animeRank	
animePopularity	2657
animeDescription	"Kei and Mizuho are having some marital difficulties, and Mizuho's family decides it's high time for a visit. 

(Source: ANN)"
animeRelated	['Onegai☆Teacher', 'Onegai☆Twins', 'Onegai☆Twins: Natsu wa Owaranai']
animeCharacters	['Kazami, Mizuho', 'Kusanagi, Kei', 'Morino, Ichigo', 'Marie', 'Kazami, Hatsuho', 'Herikawa, Koishi', 'Kazami, Maho', 'Magumo, Hyosuke', 'Misumi, Kaede', 'Shidou, Matagu']
animeVoices	['Inoue, Kikuko', 'Hoshi, Souichirou', 'Kawasumi, Ayako']
animeStaff	[['Kikuta, Hiromi', 'Sound Director'], ['Kawada, Mami', 'Theme Song Performance'], ['KOTOKO', 'Theme Song Performance, Theme Song Lyrics'], ['Kuroda, Yousuke', 'Screenplay']]
